"key","title","doi","url","has_pdf","match_reason"
"Choi2024","{Parallel Implementation of Lightweight Secure Hash Algorithm on CPU and GPU Environments}","10.3390/electronics13050896","https://www.mdpi.com/2079-9292/13/5/896/htm https://www.mdpi.com/2079-9292/13/5/896","True","file-field: Choi, Choi, Seo - 2024 - Parallel Implementation of Lightweight Secure Hash Algorithm on CPU and GPU Environments-annotated.pdf"
"Christou2000","{Using Realistic Virtual Environments in the Study of Spatial Encoding}","10.1007/3-540-45460-8_23","","False",""
"Cohen2018","{Simple proofs of sequential work}","10.1007/978-3-319-78375-8_15","","True","file-field: Cohen, Pietrzak - 2018 - Simple proofs of sequential work-annotated.pdf"
"Courtois2016","{Speed Optimizations in Bitcoin Key Recovery Attacks}","10.1515/tmmp-2016-0030","","True","title-match: Courtois, Song, Castellucci - 2016 - Ø Ñ ÅÅØØØÑÑØØØØÐ ÈÙÙÐÐÐÐØØÓÒ× SPEED OPTIMIZATIONS IN BITCOIN KEY RECOVERY ATTACKS-annotated.pdf"
"Coutrot2019","{Virtual navigation tested on a mobile app is predictive of real-world wayfinding navigation performance}","10.1371/JOURNAL.PONE.0213272;","","True","file-field: Coutrot et al. - 2019 - Virtual navigation tested on a mobile app is predictive of real-world wayfinding navigation performance-annotated.pdf"
"Damgard1990","{A design principle for hash functions}","10.1007/0-387-34805-0_39","","True","title-match: Damgård - 1990 - A design principle for hash functions-annotated.pdf"
"Daniel2003","{Testing the value of route directions through navigational performance}","10.1207/s15427633scc0304_2","","True","file-field: Daniel et al. - 2003 - Testing the value of route directions through navigational performance-annotated.pdf"
"Das2019","{A formal treatment of deterministic wallets}","10.1145/3319535.3354236","https://dl.acm.org/doi/pdf/10.1145/3319535.3354236","True","file-field: Das, Faust, Loss - 2019 - A formal treatment of deterministic wallets-annotated.pdf"
"Das2021","{The Exact Security of BIP32 Wallets}","10.1145/3460120.3484807","","True","file-field: Das et al. - 2021 - The Exact Security of BIP32 Wallets(2)-annotated.pdf"
"Das2024","{Shared-Custodial Password-Authenticated Deterministic Wallets}","10.1007/978-3-031-71073-5_16","https://link.springer.com/10.1007/978-3-031-71073-5_16","False",""
"Deb2021","{PoSAT: Proof-of-Work Availability and Unpredictability, Without the Work}","10.1007/978-3-662-64331-0_6","","False",""
"DiLuzio2020","{Arcula: A secure hierarchical deterministic wallet for multi-asset blockchains}","10.1007/978-3-030-65411-5_16","https://link.springer.com/chapter/10.1007/978-3-030-65411-5_16","True","file-field: Di Luzio, Francati, Ateniese - 2020 - Arcula A secure hierarchical deterministic wallet for multi-asset blockchains-annotated.pdf"
"Dottling2019","{Incremental proofs of sequential work}","10.1007/978-3-030-17656-3_11","","True","title-match: Döttling, Lai, Malavolta - 2019 - Incremental proofs of sequential work-annotated.pdf"
"Dottling2020","{Tight verifiable delay functions}","10.1007/978-3-030-57990-6_4","","True","title-match: Boneh et al. - 2018 - Verifiable delay functions-annotated.pdf"
"Durmuth2015","{On password guessing with GPUs and FPGAs}","10.1007/978-3-319-24192-0_2","","False",""
"Dziembowski2015","{Proofs of space}","10.1007/978-3-662-48000-7_29","","True","file-field: Dziembowski et al. - 2015 - Proofs of space-annotated.pdf"
"Efremova2018","{A geo-tagging framework for address extraction from web pages}","10.1007/978-3-319-95786-9_22","","False",""
"Eleshin2025","{Of Secrets and Seedphrases: Conceptual Misunderstandings and Security Challenges for Seed Phrase Management among Cryptocurrency Users}","10.1145/3706598.3713209","","True","file-field: Eleshin et al. - 2025 - Of Secrets and Seedphrases Conceptual Misunderstandings and Security Challenges for Seed Phrase Management among-annotated.pdf"
"Ephraim2020","{Continuous verifiable delay functions}","10.1007/978-3-030-45727-3_5","https://link.springer.com/chapter/10.1007/978-3-030-45727-3_5","True","file-field: Ephraim et al. - 2020 - Continuous verifiable delay functions-annotated.pdf"
"Erwig2022","{Deterministic Wallets for Adaptor Signatures}","10.1007/978-3-031-17146-8_24","https://link.springer.com/chapter/10.1007/978-3-031-17146-8_24","False",""
"eum_optimized_2023","Optimized {Implementation} of {Argon2} {Utilizing} the {Graphics} {Processing} {Unit}","10.3390/app13169295","https://www.mdpi.com/2076-3417/13/16/9295","True","title-match: Eum et al. - 2023 - Optimized Implementation of Argon2 Utilizing the Graphics Processing Unit-annotated.pdf"
"Garden2002","{Visuo-spatial working memory in navigation}","10.1002/acp.746","","True","file-field: Garden, Cornoldi, Logie - 2002 - Visuo-spatial working memory in navigation-annotated.pdf"
"Gasser1975","{A Random Word Generator for Pronounceable Passwords}","10.21236/ADA017676","http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA017676","False",""
"Goldberg2013","{An evaluation framework for comparing geocoding systems}","10.1186/1476-072X-12-50","","True","file-field: Goldberg et al. - 2013 - An evaluation framework for comparing geocoding systems-annotated.pdf"
"Golla2016","{On the security of cracking-resistant password vaults}","10.1145/2976749.2978416","","True","title-match: Golla, Beuscher, Dürmuth - 2016 - On the security of cracking-resistant password vaults-annotated.pdf"
"Golla2017","{EmojiAuth: Quantifying the Security of Emoji-based Authentication}","10.14722/usec.2017.23024","http://dx.doi.org/10.14722/usec.2017.23024","True","title-match: Golla, Detering, Dürmuth - 2017 - EmojiAuth Quantifying the Security of Emoji-based Authentication-annotated.pdf"
"Guan2024","{On Sequential Functions and Fine-Grained Cryptography}","10.1007/978-3-031-68388-6_14","","False",""
"Gutoski2015","{Hierarchical deterministic bitcoin wallets that tolerate key leakage}","10.1007/978-3-662-47854-7_31","","False",""
"Han2019","{Demystifying Crypto-Mining: Analysis and Optimizations of Memory-Hard PoW Algorithms}","10.1109/ISPASS.2019.00011","","False",""
"Iani2019","{Mnemonic effects of action simulation from pictures and phrases}","10.1016/j.actpsy.2019.01.012","https://www.sciencedirect.com/science/article/pii/S0001691818303330","False",""
"Jaques2021","{Time-Release Cryptography from Minimal Circuit Assumptions}","10.1007/978-3-030-92518-5_26","","False",""
"Jiang2018","{What3Words Geocoding Extensions}","10.1007/s41651-018-0014-x","https://link.springer.com/article/10.1007/s41651-018-0014-x","True","file-field: Jiang, Stefanakis - 2018 - What3Words Geocoding Extensions(2)-annotated.pdf"
"Jiang2018a","{What3Words Geocoding Extensions}","10.1007/s41651-018-0014-x","","True","file-field: Jiang, Stefanakis - 2018 - What3Words Geocoding Extensions-annotated.pdf"
"Karantias2020","{Financial Cryptography and Data Security 2013}","10.1007/978-3-662-54970-4","https://dx.doi.org/10.1007/978-3-642-39884-1","False",""
"Karimi2011","{Geocoding recommender: An algorithm to recommend optimal online geocoding services for applications}","10.1111/j.1467-9671.2011.01293.x","","True","file-field: Karimi, Sharker, Roongpiboonsopit - 2011 - Geocoding recommender an algorithm to recommend optimal online geocoding services for applica-annotated.pdf"
"Kavrestad2020","{Assisting Users to Create Stronger Passwords Using ContextBased MicroTraining}","10.1007/978-3-030-58201-2_7","","True","title-match: Kävrestad, Nohlberg - 2020 - Assisting Users to Create Stronger Passwords Using ContextBased MicroTraining-annotated.pdf"
"Khade2023","{Mnemonic Phrase Management and SIM Based Two-Factor Authentication (2FA) for Mobile Wallets in Blockchain}","10.1109/ICBDS58040.2023.10346266","","True","title-match: Kuo, Romanosky, Cranor - 2006 - Human selection of mnemonic phrase-based passwords-annotated.pdf"
"Komiya2021","{Memorability of Japanese Mnemonic Passwords}","10.1007/978-3-030-77074-7_32","","False",""
"Konkle2010","{Scene memory is more detailed than you think: the role of categories in visual long-term memory}","10.1177/0956797610385359","https://pubmed.ncbi.nlm.nih.gov/20921574/","True","file-field: konkle-et-al-2010-scene-memory-is-more-detailed-than-you-think-annotated.pdf"
"Konkle2010","{Scene memory is more detailed than you think: The role of categories in visual long-term memory}","10.1177/0956797610385359","","True","title-match: Konkle et al. - 2010 - Scene memory is more detailed than you think the role of categories in visual long-term memory-annotated.pdf"
"Kuo2006","{Human selection of mnemonic phrase-based passwords}","10.1145/1143120.1143129","https://dl.acm.org/doi/pdf/10.1145/1143120.1143129","True","file-field: Kuo, Romanosky, Cranor - 2006 - Human selection of mnemonic phrase-based passwords-annotated.pdf"
"Lai2019","{A fully decentralized time-lock encryption system on blockchain}","10.1109/Blockchain.2019.00047","","False",""
"Lee2009","{GIS-based geocoding methods for area-based addresses and 3D addresses in urban areas}","10.1068/b31169","","True","file-field: Lee - 2009 - GIS-based geocoding methods for area-based addresses and 3D addresses in urban areas-annotated.pdf"
"Lee2020","{Improving a street-based geocoding algorithm using machine learning techniques}","10.3390/app10165628","","True","file-field: Lee, Claridades, Lee - 2020 - Improving a street-based geocoding algorithm using machine learning techniques-annotated.pdf"
"Leidner2021","{A survey of textual data & geospatial technology}","10.1007/978-3-030-55462-0_16","","False",""
"Li2025","{From Signature with Re-randomizable Keys: Generic Construction of PDPKS}","10.1007/978-981-96-4731-6_6","","False",""
"Lindell2018","{Fast secure multiparty ECDSA with practical distributed key generation and applications to cryptocurrency custody}","10.1145/3243734.3243788","","True","file-field: Lindell, Nof - 2018 - Fast secure multiparty ECDSA with practical distributed key generation and applications to cryptocurrency custody-annotated.pdf"
"Liu2018","{How to build time-lock encryption}","10.1007/S10623-018-0461-X/FIGURES/1","https://link.springer.com/article/10.1007/s10623-018-0461-x","True","file-field: Liu et al. - 2018 - How to build time-lock encryption-annotated.pdf"
"Lukavsky2017","{Visual properties and memorising scenes: Effects of image-space sparseness and uniformity}","10.3758/S13414-017-1375-9/FIGURES/4","https://link.springer.com/article/10.3758/s13414-017-1375-9","True","title-match: Lukavský, Děchtěrenko - 2017 - Visual properties and memorising scenes Effects of image-space sparseness and uniformity-annotated.pdf"
"Mahmoody2011","{Time-lock puzzles in the random oracle model}","10.1007/978-3-642-22792-9_3","","True","file-field: Mahmoody, Moran, Vadhan - 2011 - Time-lock puzzles in the random oracle model-annotated.pdf"
"Mai2022","{A review of location encoding for GeoAI: methods and applications}","10.1080/13658816.2021.2004602","https://www.tandfonline.com/doi/pdf/10.1080/13658816.2021.2004602","True","file-field: Mai et al. - 2022 - A review of location encoding for GeoAI methods and applications-annotated.pdf"
"Mai2022","{A review of location encoding for GeoAI: methods and applications}","10.1080/13658816.2021.2004602","https://www.tandfonline.com/doi/pdf/10.1080/13658816.2021.2004602","True","file-field: Mai et al. - 2022 - A review of location encoding for GeoAI methods and applications(2)-annotated.pdf"
"McEvoy2016","{Contextualizing mnemonic phrase passwords}","10.1007/978-3-319-41932-9_24","https://link.springer.com/chapter/10.1007/978-3-319-41932-9_24","True","title-match: Kuo, Romanosky, Cranor - 2006 - Human selection of mnemonic phrase-based passwords-annotated.pdf"
"McNamara2003","{How Are the Locations of Objects in the Environment Represented in Memory?}","10.1007/3-540-45004-1_11","https://link.springer.com/chapter/10.1007/3-540-45004-1_11","False",""
"McNamara2012","{Spatial memory: Properties and organization.}","10.1037/13936-010","","True","title-match: McNamara - 2012 - Spatial memory Properties and organization-annotated.pdf"
"McNaughton1991","{""Dead reckoning,"" landmark learning, and the sense of direction: A neurophysiological and computational hypothesis}","10.1162/JOCN.1991.3.2.190","","False",""
"Mogire2018","{Forget the password: Password memory and security applications of augmented cognition}","10.1007/978-3-319-91467-1_11","","True","file-field: Mogire et al. - 2018 - Forget the password Password memory and security applications of augmented cognition-annotated.pdf"
"Montello1998","{A New Framework for Understanding the Acquisition of Spatial Knowledge in Large-Scale Environments}","","","True","file-field: konkle-et-al-2010-scene-memory-is-more-detailed-than-you-think-annotated.pdf"
"montello1998new","{A New Framework for Understanding the Acquisition of Spatial Knowledge in Large-Scale Environments}","10.1093/oso/9780195103427.003.0011","","True","title-match: Montello - 1998 - A New Framework for Understanding the Acquisition of Spatial Knowledge in Large-Scale Environments-annotated.pdf"
"Mukundan2019","{Explicit spatial encoding for deep local descriptors}","10.1109/CVPR.2019.00962","","True","file-field: Mukundan, Tolias, Chum - 2019 - Explicit Spatial Encoding for Deep Local Descriptors-annotated.pdf"
"Nguyen2019","{A computation-in-memory accelerator based on resistive devices}","10.1145/3357526.3357554","","True","file-field: Nguyen et al. - 2019 - A computation-in-memory accelerator based on resistive devices-annotated.pdf"
"Pals2018","{Memorisation methods in science education: tactics to improve the teaching and learning practice}","10.1080/09500693.2017.1407885;PAGE:STRING:ARTICLE/CHAPTER","https://www.tandfonline.com/doi/pdf/10.1080/09500693.2017.1407885","True","file-field: Pals et al. - 2018 - Memorisation methods in science education tactics to improve the teaching and learning practice-annotated.pdf"
"Pazzaglia2007","{The effects of verbal and spatial interference in the encoding and retrieval of spatial and nonspatial texts}","10.1007/S00426-006-0045-7/FIGURES/2","https://link.springer.com/article/10.1007/s00426-006-0045-7","True","file-field: Pazzaglia, De Beni, Meneghetti - 2007 - The effects of verbal and spatial interference in the encoding and retrieval of spatial and nons-annotated.pdf"
"Qiu2016","{GPU-based high performance password recovery technique for hash functions}","","https://www.researchgate.net/publication/292761539_GPU-Based_High_Performance_Password_Recovery_Technique_for_Hash_Functions","False",""
"RFC9106","{Argon2} Memory-Hard Function for Password Hashing and Proof-of-Work Applications","","https://www.rfc-editor.org/rfc/rfc9106","True","title-match: Wetzels - 2016 - Open Sesame The Password Hashing Competition and Argon2-annotated.pdf"
"Sasse2001","{Transforming the 'weakest link' - A human/computer interaction approach to usable and effective security}","10.1023/A:1011902718709","","True","file-field: Sasse, Brostoff, Weirich - 2001 - Transforming the 'weakest link' - A humancomputer interaction approach to usable and effective securit-annotated.pdf"
"Segen2021","{Age-related differences in visual encoding and response strategies contribute to spatial memory deficits}","10.3758/S13421-020-01089-3/METRICS","https://link.springer.com/article/10.3758/s13421-020-01089-3","True","file-field: Segen et al. - 2021 - Age-related differences in visual encoding and response strategies contribute to spatial memory deficits-annotated.pdf"
"Shannon1948","{A Mathematical Theory of Communication}","10.1002/j.1538-7305.1948.tb01338.x","/doi/pdf/10.1002/j.1538-7305.1948.tb01338.x https://onlinelibrary.wiley.com/doi/abs/10.1002/j.1538-7305.1948.tb01338.x https://onlinelibrary.wiley.com/doi/10.1002/j.1538-7305.1948.tb01338.x","False",""
"Singh2017","{Evaluating two freely available geocoding tools for geographical inconsistencies and geocoding errors}","10.1186/s40965-017-0026-3","","True","file-field: Singh - 2017 - Evaluating two freely available geocoding tools for geographical inconsistencies and geocoding errors-annotated.pdf"
"Song2018","{Optimization and Guess-then-Solve Attacks in Cryptanalysis}","","","False",""
"Tari2006","{A comparison of perceived and real shoulder-surfing risks between alphanumeric and graphical passwords}","10.1145/1143120.1143128","","True","file-field: Tari, Ozok, Holden - 2006 - A comparison of perceived and real shoulder-surfing risks between alphanumeric and graphical passwords-annotated.pdf"
"Turuani2016","{Automated verification of electrum wallet}","10.1007/978-3-662-53357-4_3","","False",""
"Vasek2017","{The bitcoin brain drain: Examining the use and abuse of bitcoin brain wallets}","10.1007/978-3-662-54970-4_36","https://link.springer.com/chapter/10.1007/978-3-662-54970-4_36","False",""
"Venter2016","Sixteen years of change in the global terrestrial human footprint","","","True","title-match: Venter et al. - 2016 - Sixteen years of change in the global terrestrial human footprint and implications for biodiversity conservation-annotated.pdf"
"Wang2024","{On the Proof of Ownership of Digital Wallets}","10.3390/cryptography8040057","","True","file-field: Wang, Liu, Mambo - 2024 - On the Proof of Ownership of Digital Wallets-annotated.pdf"
"Wesolowski2019","{Efficient verifiable delay functions}","10.1007/978-3-030-17659-4_13","","True","file-field: Wesolowski - 2019 - Efficient verifiable delay functions-annotated.pdf"
"Wetzels2016","{Open Sesame: The Password Hashing Competition and Argon2}","","https://arxiv.org/pdf/1602.03097 http://arxiv.org/abs/1602.03097","True","file-field: Wetzels - 2016 - Open Sesame The Password Hashing Competition and Argon2-annotated.pdf"
"WGS84","Department of Defense World Geodetic System 1984: its definition and relationships with local geodetic systems","","","False",""
"Yang2016","{An empirical study of mnemonic sentence-based password generation strategies}","10.1145/2976749.2978346","https://dl.acm.org/doi/pdf/10.1145/2976749.2978346","True","file-field: Yang et al. - 2016 - An empirical study of mnemonic sentence-based password generation strategies-annotated.pdf"
"Yates2013","{Selected works: Volume III: Art of memory}","10.4324/9781315010960/ART-MEMORY-YATES/RIGHTS-AND-PERMISSIONS","https://www.taylorfrancis.com/books/mono/10.4324/9781315010960/art-memory-yates","True","file-field: Yates - 2013 - Selected works Volume III Art of memory-annotated.pdf"
"Zandbergen2008","{A comparison of address point, parcel and street geocoding techniques}","10.1016/j.compenvurbsys.2007.11.006","","True","file-field: Zandbergen - 2008 - A comparison of address point, parcel and street geocoding techniques(2)-annotated.pdf"
"Zandbergen2008a","{A comparison of address point, parcel and street geocoding techniques}","10.1016/j.compenvurbsys.2007.11.006","","True","file-field: Zandbergen - 2008 - A comparison of address point, parcel and street geocoding techniques-annotated.pdf"
